Part,Description,Quantity,Unit Price (USD),Total Price (USD),Item link
Waveshare 4inch e-Paper HAT+,Spectra 6 color e-paper display,1,40,40,
Raspberry Pi Zero 2 W,Main compute board,1,20,20,https://www.thingbits.in/products/raspberry-pi-zero-2-w/844
Raspberry Pi Camera Module 3,Camera sensor,1,33,33,https://www.thingbits.in/products/raspberry-pi-camera-module-3
Raspberry Pi Zero CSI Camera Cable,Adapter cable for Zero's smaller CSI port,1,4,4,Local Shop
PiSugar 3,Battery + power management,1,40,40,https://www.pisugar.com/products/pisugar-3-raspberry-pi-zero-battery
PCM5102A I2S DAC Module,Audio DAC for headphone output,1,8.17,8.17,https://robu.in/product/adafruit-pcm5102-i2s-dac-with-line-level-output-112db-snr/
MicroSD Card (32GB),Storage,1,16.76,16.76,https://www.amazon.in/SanDisk-Ultra-microSD-UHS-I-120MB/dp/B08L5HMJVW?th=1
Push Buttons,Shutter + song controls,4,0.75,3,Local Shop
M3 Screws,Enclosure fastening,4,0.4,1.5,Local Shop
,,,,,
Total Price (USD):,,,,166.43,
